lot_number,item_description
LBL-10000-X,DrugA Batch
LBL-10001-X,DrugC Batch
LBL-10002-X,DrugA Batch
LBL-10003-X,DrugC Batch
LBL-10004-X,DrugC Batch
LBL-10005-X,DrugB Batch
LBL-10006-X,DrugC Batch
LBL-10007-X,DrugB Batch
LBL-10008-X,DrugB Batch
LBL-10009-X,DrugA Batch
LBL-10010-X,DrugC Batch
LBL-10011-X,DrugC Batch
LBL-10012-X,DrugA Batch
LBL-10013-X,DrugC Batch
LBL-10014-X,DrugC Batch
LBL-10015-X,DrugA Batch
LBL-10016-X,DrugB Batch
LBL-10017-X,DrugA Batch
LBL-10018-X,DrugB Batch
LBL-10019-X,DrugC Batch
LBL-10020-X,DrugC Batch
LBL-10021-X,DrugC Batch
LBL-10022-X,DrugA Batch
LBL-10023-X,DrugA Batch
LBL-10024-X,DrugA Batch
LBL-10025-X,DrugA Batch
LBL-10026-X,DrugB Batch
LBL-10027-X,DrugB Batch
LBL-10028-X,DrugB Batch
LBL-10029-X,DrugC Batch
LBL-10030-X,DrugB Batch
LBL-10031-X,DrugB Batch
LBL-10032-X,DrugC Batch
LBL-10033-X,DrugB Batch
LBL-10034-X,DrugB Batch
LBL-10035-X,DrugC Batch
LBL-10036-X,DrugA Batch
LBL-10037-X,DrugC Batch
LBL-10038-X,DrugC Batch
LBL-10039-X,DrugA Batch
LBL-10040-X,DrugB Batch
LBL-10041-X,DrugB Batch
LBL-10042-X,DrugA Batch
LBL-10043-X,DrugC Batch
LBL-10044-X,DrugB Batch
LBL-10045-X,DrugC Batch
LBL-10046-X,DrugB Batch
LBL-10047-X,DrugC Batch
LBL-10048-X,DrugA Batch
LBL-10049-X,DrugC Batch
LBL-10050-X,DrugA Batch
LBL-10051-X,DrugB Batch
LBL-10052-X,DrugB Batch
LBL-10053-X,DrugA Batch
LBL-10054-X,DrugA Batch
LBL-10055-X,DrugA Batch
LBL-10056-X,DrugB Batch
LBL-10057-X,DrugC Batch
LBL-10058-X,DrugA Batch
LBL-10059-X,DrugB Batch
LBL-10060-X,DrugB Batch
LBL-10061-X,DrugC Batch
LBL-10062-X,DrugB Batch
LBL-10063-X,DrugB Batch
LBL-10064-X,DrugC Batch
LBL-10065-X,DrugA Batch
LBL-10066-X,DrugB Batch
LBL-10067-X,DrugC Batch
LBL-10068-X,DrugB Batch
LBL-10069-X,DrugA Batch
LBL-10070-X,DrugB Batch
LBL-10071-X,DrugC Batch
LBL-10072-X,DrugC Batch
LBL-10073-X,DrugA Batch
LBL-10074-X,DrugC Batch
LBL-10075-X,DrugC Batch
LBL-10076-X,DrugA Batch
LBL-10077-X,DrugA Batch
LBL-10078-X,DrugB Batch
LBL-10079-X,DrugB Batch
LBL-10080-X,DrugC Batch
LBL-10081-X,DrugB Batch
LBL-10082-X,DrugC Batch
LBL-10083-X,DrugC Batch
LBL-10084-X,DrugB Batch
LBL-10085-X,DrugC Batch
LBL-10086-X,DrugB Batch
LBL-10087-X,DrugA Batch
LBL-10088-X,DrugA Batch
LBL-10089-X,DrugA Batch
LBL-10090-X,DrugB Batch
LBL-10091-X,DrugB Batch
LBL-10092-X,DrugC Batch
LBL-10093-X,DrugC Batch
LBL-10094-X,DrugA Batch
LBL-10095-X,DrugC Batch
LBL-10096-X,DrugA Batch
LBL-10097-X,DrugB Batch
LBL-10098-X,DrugA Batch
LBL-10099-X,DrugA Batch
LBL-10100-X,DrugB Batch
LBL-10101-X,DrugB Batch
LBL-10102-X,DrugA Batch
LBL-10103-X,DrugC Batch
LBL-10104-X,DrugA Batch
LBL-10105-X,DrugA Batch
LBL-10106-X,DrugA Batch
LBL-10107-X,DrugC Batch
LBL-10108-X,DrugB Batch
LBL-10109-X,DrugA Batch
LBL-10110-X,DrugB Batch
LBL-10111-X,DrugA Batch
LBL-10112-X,DrugA Batch
LBL-10113-X,DrugB Batch
LBL-10114-X,DrugA Batch
LBL-10115-X,DrugC Batch
LBL-10116-X,DrugB Batch
LBL-10117-X,DrugB Batch
LBL-10118-X,DrugC Batch
LBL-10119-X,DrugA Batch
LBL-10120-X,DrugA Batch
LBL-10121-X,DrugC Batch
LBL-10122-X,DrugA Batch
LBL-10123-X,DrugB Batch
LBL-10124-X,DrugC Batch
LBL-10125-X,DrugA Batch
LBL-10126-X,DrugC Batch
LBL-10127-X,DrugB Batch
LBL-10128-X,DrugC Batch
LBL-10129-X,DrugA Batch
LBL-10130-X,DrugB Batch
LBL-10131-X,DrugB Batch
LBL-10132-X,DrugA Batch
LBL-10133-X,DrugA Batch
LBL-10134-X,DrugB Batch
LBL-10135-X,DrugB Batch
LBL-10136-X,DrugB Batch
LBL-10137-X,DrugC Batch
LBL-10138-X,DrugA Batch
LBL-10139-X,DrugA Batch
