sample_number,test_number,name,entry,units,status
10000,5000,Content,92.49,%,A
10001,5001,Content,97.9,%,A
10002,5002,Content,93.46,%,A
10003,5003,Content,96.35,%,A
10004,5004,Content,99.19,%,A
10005,5005,Potency,90.55,%,A
10006,5006,Potency,92.43,%,A
10007,5007,Content,91.2,%,A
10008,5008,Content,99.23,%,A
10009,5009,Content,95.82,%,A
10010,5010,Potency,95.61,%,A
10011,5011,Potency,97.01,%,A
10012,5012,Potency,94.29,%,A
10013,5013,Content,96.79,%,A
10014,5014,Potency,99.85,%,A
10015,5015,Content,93.18,%,A
10016,5016,Content,97.05,%,A
10017,5017,Potency,92.63,%,A
10018,5018,Content,91.15,%,A
10019,5019,Content,96.65,%,A
10020,5020,Content,94.62,%,A
10021,5021,Content,91.31,%,A
10022,5022,Potency,96.91,%,A
10023,5023,Potency,91.1,%,A
10024,5024,Potency,95.64,%,A
10025,5025,Content,91.4,%,A
10026,5026,Potency,97.3,%,A
10027,5027,Content,94.57,%,A
10028,5028,Content,98.65,%,A
10029,5029,Potency,97.31,%,A
10030,5030,Content,98.41,%,A
10031,5031,Content,94.85,%,A
10032,5032,Potency,92.39,%,A
10033,5033,Content,97.03,%,A
10034,5034,Potency,99.92,%,A
10035,5035,Potency,94.88,%,A
10036,5036,Potency,97.61,%,A
10037,5037,Content,98.22,%,A
10038,5038,Content,90.65,%,A
10039,5039,Content,95.32,%,A
10040,5040,Potency,94.85,%,A
10041,5041,Potency,95.92,%,A
10042,5042,Content,98.87,%,A
10043,5043,Potency,98.49,%,A
10044,5044,Content,94.61,%,A
10045,5045,Content,93.35,%,A
10046,5046,Potency,91.2,%,A
10047,5047,Potency,99.21,%,A
10048,5048,Potency,92.35,%,A
10049,5049,Content,90.16,%,A
10050,5050,Potency,91.17,%,A
10051,5051,Content,98.12,%,A
10052,5052,Potency,94.08,%,A
10053,5053,Potency,90.75,%,A
10054,5054,Content,96.07,%,A
10055,5055,Content,90.77,%,A
10056,5056,Content,93.07,%,A
10057,5057,Potency,97.8,%,A
10058,5058,Content,96.49,%,A
10059,5059,Potency,94.57,%,A
10060,5060,Potency,92.97,%,A
10061,5061,Content,91.17,%,A
10062,5062,Potency,96.67,%,A
