label_id,sample_number,date_completed,product,product_grade,stage
LBL-10000-XYZ,10000,2024-01-18,DrugA,A,Stage1
LBL-10001-XYZ,10001,2024-01-15,DrugC,A,Stage2
LBL-10002-XYZ,10002,2024-01-19,DrugA,B,Stage2
LBL-10003-XYZ,10003,2024-01-02,DrugA,B,Stage1
LBL-10004-XYZ,10004,2024-01-22,DrugA,A,Stage1
LBL-10005-XYZ,10005,2024-01-24,DrugA,A,Stage1
LBL-10006-XYZ,10006,2024-01-29,DrugC,B,Stage2
LBL-10007-XYZ,10007,2024-01-14,DrugC,A,Stage1
LBL-10008-XYZ,10008,2024-01-18,DrugB,B,Stage1
LBL-10009-XYZ,10009,2024-01-31,DrugB,A,Stage2
LBL-10010-XYZ,10010,2024-01-09,DrugB,B,Stage2
LBL-10011-XYZ,10011,2024-01-26,DrugC,B,Stage2
LBL-10012-XYZ,10012,2024-01-27,DrugB,A,Stage1
LBL-10013-XYZ,10013,2024-01-31,DrugB,A,Stage2
LBL-10014-XYZ,10014,2024-01-23,DrugC,B,Stage2
LBL-10015-XYZ,10015,2024-01-17,DrugA,B,Stage1
LBL-10016-XYZ,10016,2024-01-26,DrugB,B,Stage1
LBL-10017-XYZ,10017,2024-01-13,DrugB,A,Stage2
LBL-10018-XYZ,10018,2024-01-28,DrugB,B,Stage2
LBL-10019-XYZ,10019,2024-01-26,DrugC,B,Stage1
LBL-10020-XYZ,10020,2024-01-11,DrugB,B,Stage1
LBL-10021-XYZ,10021,2024-01-08,DrugB,B,Stage1
LBL-10022-XYZ,10022,2024-01-25,DrugC,A,Stage2
LBL-10023-XYZ,10023,2024-01-28,DrugB,A,Stage2
LBL-10024-XYZ,10024,2024-01-10,DrugB,B,Stage2
LBL-10025-XYZ,10025,2024-01-29,DrugA,B,Stage2
LBL-10026-XYZ,10026,2024-01-04,DrugB,A,Stage1
LBL-10027-XYZ,10027,2024-01-28,DrugB,A,Stage2
LBL-10028-XYZ,10028,2024-01-20,DrugC,A,Stage1
LBL-10029-XYZ,10029,2024-01-01,DrugC,A,Stage1
LBL-10030-XYZ,10030,2024-01-04,DrugA,A,Stage1
LBL-10031-XYZ,10031,2024-01-28,DrugA,B,Stage2
LBL-10032-XYZ,10032,2024-01-22,DrugC,A,Stage1
LBL-10033-XYZ,10033,2024-01-30,DrugA,A,Stage1
LBL-10034-XYZ,10034,2024-01-03,DrugB,B,Stage1
LBL-10035-XYZ,10035,2024-01-17,DrugC,A,Stage1
LBL-10036-XYZ,10036,2024-01-30,DrugA,B,Stage2
LBL-10037-XYZ,10037,2024-01-12,DrugB,B,Stage2
LBL-10038-XYZ,10038,2024-01-14,DrugB,B,Stage1
LBL-10039-XYZ,10039,2024-01-24,DrugB,A,Stage2
