lot_number,item_description
LBL100000,BatchC
LBL100001,BatchB
LBL100002,BatchC
LBL100003,BatchC
LBL100004,BatchA
LBL100005,BatchB
LBL100006,BatchB
LBL100007,BatchA
LBL100008,BatchA
LBL100009,BatchA
LBL100010,BatchB
LBL100011,BatchC
LBL100012,BatchB
LBL100013,BatchB
LBL100014,BatchA
LBL100015,BatchB
LBL100016,BatchC
LBL100017,BatchB
LBL100018,BatchB
LBL100019,BatchC
LBL100020,BatchB
LBL100021,BatchA
LBL100022,BatchB
LBL100023,BatchB
LBL100024,BatchA
LBL100025,BatchC
LBL100026,BatchC
LBL100027,BatchB
LBL100028,BatchB
LBL100029,BatchA
LBL100030,BatchA
LBL100031,BatchC
LBL100032,BatchC
LBL100033,BatchB
LBL100034,BatchC
LBL100035,BatchA
LBL100036,BatchC
LBL100037,BatchA
LBL100038,BatchC
LBL100039,BatchA
LBL100040,BatchB
LBL100041,BatchC
LBL100042,BatchB
LBL100043,BatchC
LBL100044,BatchA
LBL100045,BatchB
LBL100046,BatchA
LBL100047,BatchA
LBL100048,BatchA
LBL100049,BatchA
LBL100050,BatchB
LBL100051,BatchB
LBL100052,BatchC
LBL100053,BatchB
LBL100054,BatchA
LBL100055,BatchB
LBL100056,BatchB
LBL100057,BatchB
LBL100058,BatchC
LBL100059,BatchC
LBL100060,BatchB
LBL100061,BatchA
LBL100062,BatchB
LBL100063,BatchC
LBL100064,BatchA
LBL100065,BatchC
LBL100066,BatchC
LBL100067,BatchC
LBL100068,BatchB
LBL100069,BatchC
LBL100070,BatchA
LBL100071,BatchB
LBL100072,BatchC
LBL100073,BatchA
LBL100074,BatchA
LBL100075,BatchA
LBL100076,BatchA
LBL100077,BatchB
LBL100078,BatchB
LBL100079,BatchA
LBL100080,BatchB
LBL100081,BatchC
LBL100082,BatchC
LBL100083,BatchC
LBL100084,BatchB
LBL100085,BatchC
LBL100086,BatchA
LBL100087,BatchC
LBL100088,BatchA
LBL100089,BatchB
LBL100090,BatchA
LBL100091,BatchC
LBL100092,BatchB
LBL100093,BatchC
LBL100094,BatchA
LBL100095,BatchB
LBL100096,BatchA
LBL100097,BatchB
LBL100098,BatchC
LBL100099,BatchA
LBL100100,BatchA
LBL100101,BatchA
LBL100102,BatchB
LBL100103,BatchA
LBL100104,BatchA
LBL100105,BatchC
LBL100106,BatchB
LBL100107,BatchB
LBL100108,BatchB
LBL100109,BatchA
LBL100110,BatchB
LBL100111,BatchB
LBL100112,BatchB
LBL100113,BatchC
LBL100114,BatchC
LBL100115,BatchA
LBL100116,BatchB
LBL100117,BatchA
LBL100118,BatchB
LBL100119,BatchB
LBL100120,BatchA
LBL100121,BatchC
LBL100122,BatchA
LBL100123,BatchC
LBL100124,BatchC
LBL100125,BatchA
LBL100126,BatchC
LBL100127,BatchA
LBL100128,BatchC
LBL100129,BatchA
LBL100130,BatchC
LBL100131,BatchA
LBL100132,BatchC
LBL100133,BatchC
LBL100134,BatchC
LBL100135,BatchC
LBL100136,BatchC
LBL100137,BatchA
LBL100138,BatchB
LBL100139,BatchB
LBL100140,BatchB
LBL100141,BatchC
LBL100142,BatchC
LBL100143,BatchC
LBL100144,BatchC
LBL100145,BatchA
LBL100146,BatchB
LBL100147,BatchC
LBL100148,BatchB
LBL100149,BatchA
LBL100150,BatchC
LBL100151,BatchB
LBL100152,BatchB
LBL100153,BatchA
LBL100154,BatchA
LBL100155,BatchA
LBL100156,BatchA
LBL100157,BatchA
LBL100158,BatchB
LBL100159,BatchA
LBL100160,BatchA
LBL100161,BatchA
LBL100162,BatchC
LBL100163,BatchC
LBL100164,BatchB
LBL100165,BatchC
LBL100166,BatchC
LBL100167,BatchC
LBL100168,BatchB
LBL100169,BatchA
LBL100170,BatchB
LBL100171,BatchA
LBL100172,BatchB
LBL100173,BatchA
LBL100174,BatchC
LBL100175,BatchC
LBL100176,BatchB
LBL100177,BatchC
LBL100178,BatchA
LBL100179,BatchB
LBL100180,BatchB
LBL100181,BatchA
LBL100182,BatchA
LBL100183,BatchA
LBL100184,BatchC
LBL100185,BatchA
LBL100186,BatchB
LBL100187,BatchB
LBL100188,BatchC
LBL100189,BatchC
LBL100190,BatchA
LBL100191,BatchB
LBL100192,BatchB
LBL100193,BatchB
LBL100194,BatchA
LBL100195,BatchC
LBL100196,BatchB
LBL100197,BatchB
LBL100198,BatchA
LBL100199,BatchA
LBL100200,BatchC
LBL100201,BatchA
LBL100202,BatchA
LBL100203,BatchA
LBL100204,BatchA
LBL100205,BatchC
