sample_number,test_number,name,entry,units,status
100000,500000,Content,92.22,%,A
100001,500001,Content,96.85,%,A
100002,500002,Potency,95.69,%,I
100003,500003,,96.32,%,A
100004,500004,,,%,A
100005,500005,Potency,96.24,%,A
100006,500006,Content,94.31,%,A
100007,500007,Content,93.85,%,I
100008,500008,Potency,92.72,%,I
100009,500009,Potency,96.44,%,A
100010,500010,Potency,96.26,%,I
100011,500011,Content,97.75,%,I
100012,500012,,99.48,%,I
100013,500013,,97.24,%,A
100014,500014,Content,96.95,%,A
100015,500015,Potency,97.57,%,A
100016,500016,,92.99,%,I
100017,500017,Potency,98.41,%,I
100018,500018,,97.26,%,A
100019,500019,Potency,97.04,%,A
100020,500020,Potency,96.96,%,I
100021,500021,,99.65,%,A
100022,500022,Content,99.79,%,I
100023,500023,,,%,A
100024,500024,Potency,92.1,%,I
100025,500025,,92.64,%,I
100026,500026,,95.57,%,A
100027,500027,,91.0,%,A
100028,500028,Content,95.53,%,A
100029,500029,Content,97.89,%,I
100030,500030,,99.14,%,A
100031,500031,Potency,97.1,%,I
100032,500032,Potency,94.74,%,A
100033,500033,Content,,%,A
100034,500034,,91.49,%,A
100035,500035,Content,95.68,%,A
100036,500036,,95.51,%,A
100037,500037,,97.19,%,I
100038,500038,Content,99.26,%,I
100039,500039,,94.84,%,I
100040,500040,Content,95.41,%,I
100041,500041,Content,92.94,%,A
100042,500042,Potency,96.87,%,I
100043,500043,Content,91.52,%,I
100044,500044,Content,95.86,%,I
100045,500045,Potency,91.44,%,A
100046,500046,Content,92.83,%,A
100047,500047,,96.17,%,A
100048,500048,Potency,96.92,%,I
100049,500049,,90.62,%,A
100050,500050,,98.58,%,I
100051,500051,Potency,90.4,%,A
100052,500052,,92.29,%,A
100053,500053,Potency,92.72,%,A
100054,500054,Potency,92.18,%,A
100055,500055,Potency,94.01,%,I
100056,500056,Content,92.8,%,I
100057,500057,,99.12,%,I
100058,500058,Potency,90.5,%,I
100059,500059,Potency,91.69,%,A
100060,500060,Content,93.75,%,A
100061,500061,Content,94.73,%,A
100062,500062,Content,96.25,%,I
100063,500063,Content,95.55,%,I
100064,500064,Potency,98.29,%,A
100065,500065,Content,,%,I
100066,500066,Content,91.43,%,A
100067,500067,Potency,99.35,%,I
100068,500068,Potency,92.27,%,A
100069,500069,,98.66,%,A
100070,500070,,95.38,%,I
100071,500071,Potency,96.87,%,A
100072,500072,Content,94.54,%,A
100073,500073,Content,98.36,%,I
100074,500074,,91.84,%,I
100075,500075,Content,92.21,%,I
100076,500076,Content,95.11,%,I
100077,500077,,93.61,%,A
100078,500078,Content,,%,A
100079,500079,Potency,99.43,%,I
100080,500080,Potency,90.17,%,I
100081,500081,Content,90.54,%,A
100082,500082,,,%,A
100083,500083,Potency,93.8,%,I
100084,500084,Potency,99.44,%,I
100085,500085,Content,90.47,%,I
100086,500086,,92.08,%,A
