label_id,sample_number,date_completed,product,product_grade,stage
LBL100000,100000,2024-01-17,DrugC,B,Stage2
LBL100001,100001,2024-02-27,DrugA,A,Stage2
LBL100002,100002,2024-02-15,DrugC,B,Stage1
LBL100003,100003,2024-02-15,DrugA,B,Stage2
LBL100004,100004,2024-01-23,DrugB,A,Stage1
LBL100005,100005,2024-01-01,DrugB,A,Stage1
LBL100006,100006,2024-02-01,DrugA,B,Stage2
LBL100007,100007,2024-01-14,DrugC,A,Stage1
LBL100008,100008,2024-02-22,DrugB,A,Stage2
LBL100009,100009,2024-02-13,DrugC,A,Stage1
LBL100010,100010,2024-03-01,DrugB,A,Stage1
LBL100011,100011,2024-02-28,DrugB,B,Stage1
LBL100012,100012,2024-01-05,DrugB,B,Stage1
LBL100013,100013,2024-03-01,DrugC,B,Stage1
LBL100014,100014,2024-02-06,DrugB,B,Stage2
LBL100015,100015,2024-02-21,DrugB,A,Stage2
LBL100016,100016,2024-01-18,DrugC,A,Stage2
LBL100017,100017,2024-02-23,DrugC,A,Stage2
LBL100018,100018,2024-01-10,DrugA,A,Stage1
LBL100019,100019,2024-01-31,DrugA,A,Stage2
LBL100020,100020,2024-01-27,DrugB,A,Stage2
LBL100021,100021,2024-01-10,DrugC,A,Stage2
LBL100022,100022,2024-02-17,DrugC,B,Stage2
LBL100023,100023,2024-02-02,DrugA,A,Stage2
LBL100024,100024,2024-02-28,DrugA,B,Stage1
LBL100025,100025,2024-02-06,DrugA,A,Stage2
LBL100026,100026,2024-01-26,DrugB,A,Stage1
LBL100027,100027,2024-02-01,DrugB,A,Stage2
LBL100028,100028,2024-02-22,DrugC,A,Stage2
LBL100029,100029,2024-02-28,DrugA,B,Stage1
LBL100030,100030,2024-01-10,DrugC,B,Stage2
LBL100031,100031,2024-02-26,DrugA,B,Stage1
LBL100032,100032,2024-02-14,DrugB,A,Stage1
LBL100033,100033,2024-02-15,DrugC,B,Stage2
LBL100034,100034,2024-02-05,DrugA,A,Stage1
LBL100035,100035,2024-02-19,DrugA,B,Stage1
LBL100036,100036,2024-01-30,DrugA,B,Stage1
LBL100037,100037,2024-01-02,DrugB,B,Stage1
LBL100038,100038,2024-02-05,DrugA,A,Stage1
LBL100039,100039,2024-01-09,DrugC,A,Stage2
LBL100040,100040,2024-01-25,DrugA,A,Stage1
LBL100041,100041,2024-02-12,DrugC,A,Stage2
LBL100042,100042,2024-02-26,DrugA,B,Stage2
LBL100043,100043,2024-02-19,DrugC,A,Stage2
LBL100044,100044,2024-02-28,DrugA,A,Stage2
LBL100045,100045,2024-02-16,DrugA,A,Stage2
LBL100046,100046,2024-01-16,DrugC,B,Stage2
LBL100047,100047,2024-01-05,DrugA,A,Stage1
LBL100048,100048,2024-01-06,DrugA,A,Stage2
LBL100049,100049,2024-01-04,DrugA,A,Stage1
LBL100050,100050,2024-02-28,DrugB,B,Stage2
LBL100051,100051,2024-01-13,DrugA,A,Stage2
LBL100052,100052,2024-01-20,DrugC,A,Stage2
LBL100053,100053,2024-01-06,DrugC,B,Stage2
LBL100054,100054,2024-02-15,DrugB,A,Stage2
LBL100055,100055,2024-02-25,DrugA,A,Stage2
LBL100056,100056,2024-02-21,DrugA,A,Stage1
LBL100057,100057,2024-01-21,DrugB,B,Stage1
LBL100058,100058,2024-02-06,DrugC,B,Stage1
LBL100059,100059,2024-01-11,DrugB,B,Stage2
LBL100060,100060,2024-02-27,DrugC,A,Stage2
LBL100061,100061,2024-02-27,DrugC,B,Stage2
LBL100062,100062,2024-01-27,DrugA,A,Stage1
LBL100063,100063,2024-02-25,DrugA,A,Stage2
LBL100064,100064,2024-02-07,DrugA,A,Stage1
LBL100065,100065,2024-01-16,DrugB,A,Stage1
LBL100066,100066,2024-01-05,DrugA,B,Stage2
LBL100067,100067,2024-01-08,DrugA,A,Stage2
LBL100068,100068,2024-02-03,DrugA,B,Stage1
